ticker,early_stop,lr_reduce,batchNorm,l2,train_rmse,train_mae,test_rmse,test_mae
AAPL,False,False,False,False,7.661617554912343,5.678150927950318,7.1186253336760235,6.928628489720572
AAPL,False,False,False,True,4.99402434149741,3.760747743595392,3.0505352570420308,2.8012169553702138
AAPL,False,False,True,False,18.88608840762569,15.740993399698759,39.73377828607848,39.63512649104814
AAPL,False,False,True,True,20.169775701184715,16.681317080141355,44.43051986426931,44.34854227545566
AAPL,False,True,False,False,6.6322791779802195,4.885916337787846,4.579746881052542,4.242334019228867
AAPL,False,True,False,True,5.870186057028628,4.348046118755152,1.9917580385264873,1.432563022581082
AAPL,False,True,True,False,19.069109817243753,16.30651109586382,38.6839310579732,38.601751356692525
AAPL,False,True,True,True,19.562818242309817,15.515531493737022,41.9885209530904,41.9192600349924
AAPL,True,False,False,False,11.435718268485038,9.329733748504504,16.778764728862967,16.6582067126454
AAPL,True,False,False,True,7.7339463555563395,5.892773239494321,12.11619507047822,11.940223432613038
AAPL,True,False,True,False,20.031163301038685,17.205156099498915,42.383310231742556,42.28498665498781
AAPL,True,False,True,True,17.89305611018634,14.949666222017974,38.65881369662059,38.57231300184518
AAPL,True,True,False,False,7.725059241982527,5.836672351825372,14.522755832136701,14.399263628500648
AAPL,True,True,False,True,7.1477689933626625,5.591821592418959,12.11084891522455,11.983626664857184
AAPL,True,True,True,False,22.815788026428034,18.13178320322731,48.467059623632565,48.382453682836136
AAPL,True,True,True,True,20.679839984396033,17.02314831017512,44.03541889911577,43.93988406678606
TSLA,False,False,False,False,15.424132669711215,11.560538241111447,16.30787643415,15.261194508147055
TSLA,False,False,False,True,14.474175651920966,11.005175628824386,14.281503623331629,13.283231178517594
TSLA,False,False,True,False,37.90142149821716,30.938790836292295,129.27985001079585,129.04181444711787
TSLA,False,False,True,True,39.13251579166084,33.46021613825884,139.84529891172608,139.61913694911394
TSLA,False,True,False,False,7.795301788477009,5.756912797396884,26.463912366654107,25.51859623987654
TSLA,False,True,False,True,12.257759526024145,9.402433758027554,7.163900433198246,5.624255957196048
TSLA,False,True,True,False,55.71512277405014,42.57610909544879,157.70634687788066,157.53639484139737
TSLA,False,True,True,True,37.38353769050621,31.298847767380877,124.79184807124365,124.54721689486162
TSLA,True,False,False,False,12.304889229933185,9.159666873796073,31.0697753510396,30.180448692659827
TSLA,True,False,False,True,10.577635986603278,8.040679884290347,20.505935725253117,19.57852088730711
TSLA,True,False,True,False,37.9490406884082,32.12613854890335,126.82236054838548,126.59660219846943
TSLA,True,False,True,True,36.39351526936163,30.964296461206857,127.89574194959435,127.62779149266379
TSLA,True,True,False,False,12.664329834890857,9.189167855958559,17.96865672144956,16.22489119470003
TSLA,True,True,False,True,13.955103076636865,10.304529689076189,32.933498243304385,32.155442088313784
TSLA,True,True,True,False,33.928401729744444,27.773804377876896,115.72043102678587,115.46022771975008
TSLA,True,True,True,True,39.41420946256832,33.14937799854145,137.0658970396774,136.82412361939882
BA,False,False,False,False,13.969184329066122,9.883336720395423,8.426685741553484,7.464046825803277
BA,False,False,False,True,15.638594575838,10.43369719302889,7.188212643675051,5.887548523797347
BA,False,False,True,False,42.80764440536965,30.05026236746133,33.63191675639919,33.398062739654556
BA,False,False,True,True,42.13672455081543,29.521435226434562,32.9218728656213,32.66475491676298
BA,False,True,False,False,20.905072319231532,13.266737859589064,14.996637851753437,14.753215478893095
BA,False,True,False,True,40.40327889804967,25.46230538861378,37.10996715993427,36.08340573213835
BA,False,True,True,False,56.680886484363455,41.228207652801416,77.12818613352087,76.3267761090744
BA,False,True,True,True,41.72378335691232,24.697535602641157,46.3558238991479,46.262793568781866
BA,True,False,False,False,36.10942075856247,22.84274529132314,41.11652907514533,40.92230422342426
BA,True,False,False,True,21.499787580047226,13.891831853342762,13.825033433000328,13.03160327076782
BA,True,False,True,False,48.16825705594437,28.93015630612658,57.00405200657315,56.82972594962865
BA,True,False,True,True,45.81340933504104,27.443128670518,54.91153035254258,54.76471842103799
BA,True,True,False,False,28.015470881082713,17.493712213277576,25.349978002212413,25.030574217199078
BA,True,True,False,True,29.64164438219106,18.802061649073757,30.11659972789943,29.59476447696448
BA,True,True,True,False,46.51556145437748,27.741472173847008,53.95751733376758,53.821782660851035
BA,True,True,True,True,43.861811523499775,27.905835598745384,58.63576194368765,58.50027126098674
DIS,False,False,False,False,4.139695582533737,3.1949894478405074,10.860620655064956,10.098804775340872
DIS,False,False,False,True,4.127120583686928,3.257629525282748,13.496801857624005,12.578993249757863
DIS,False,False,True,False,12.175781592223922,10.458178058829139,52.915656405792,52.83881739928763
DIS,False,False,True,True,10.877701431836867,8.874328261290112,51.73909312763445,51.641164034520166
DIS,False,True,False,False,6.617454400403538,5.117510977934165,30.033671725981524,29.876075792032754
DIS,False,True,False,True,5.6000024457904845,4.267040283118069,24.792106828411764,24.607772314501137
DIS,False,True,True,False,10.76130423415969,8.874726760118095,52.452022820961176,52.34077487925692
DIS,False,True,True,True,11.367894388235099,8.885509377601386,49.66032122490237,49.570675451643815
DIS,True,False,False,False,6.26932754340835,4.949427792491226,28.752117052737315,28.591241593738534
DIS,True,False,False,True,6.223052204896148,4.866091855757963,26.609966954484296,26.442986252166254
DIS,True,False,True,False,11.204265015895443,9.08551772760124,54.752040887428016,54.64231923471079
DIS,True,False,True,True,22.27159638001339,19.176274841431155,81.36637528116137,81.3309163546585
DIS,True,True,False,False,6.9590475387506805,5.313787718372816,28.32942104405592,28.168833290447612
DIS,True,True,False,True,9.868409778484175,7.1928739145912886,34.52708088929032,34.396478259004844
DIS,True,True,True,False,10.138525270394492,8.039307081249067,46.27887159231462,46.15837075242231
DIS,True,True,True,True,11.35862766368741,9.192565688897854,54.800464187361186,54.70087326666164
AMZN,False,False,False,False,8.246436067620566,6.397780522622565,3.045789829706311,2.59525155661701
AMZN,False,False,False,True,7.576113330141728,5.688015688009043,2.8464404352000616,2.2687756505752454
AMZN,False,False,True,False,22.13621020470449,19.565380705771823,28.791673615033627,28.718695905070376
AMZN,False,False,True,True,25.910552828251493,23.00330546025858,32.48091738343866,32.398626856697206
AMZN,False,True,False,False,6.553191666888113,5.0405744535156565,3.505985979083723,2.865739233889561
AMZN,False,True,False,True,6.656504351913635,5.066799697894735,3.235951494482068,2.715694646615096
AMZN,False,True,True,False,22.706261732300753,20.06793923551237,29.318522068276085,29.236518989214574
AMZN,False,True,True,True,19.526205824529807,17.00078903756476,24.25373759707464,24.138059684261027
AMZN,True,False,False,False,14.963613315730464,11.853806949020631,5.386753317942488,4.909112157219131
AMZN,True,False,False,True,13.692951057441187,10.597948796621168,5.858150562602902,5.406299302574439
AMZN,True,False,True,False,26.38810744662927,22.499563803947556,38.34902679295063,38.29345733675924
AMZN,True,False,True,True,22.502969326519295,20.07575929081298,28.11217985904719,28.029924864306775
AMZN,True,True,False,False,20.445337949117146,17.199264907591015,29.314576617161517,29.215162126162795
AMZN,True,True,False,True,11.250066287192562,8.79787496995738,2.7598129139917575,2.2604066628284727
AMZN,True,True,True,False,24.57924870375665,21.923233733334072,30.16929789479691,30.080150550154865
AMZN,True,True,True,True,24.59851804009451,21.75879513836859,31.6002678386484,31.520912852665333
